ID,NAME,age,dob,height_cm,weight_kg,overall,potential,player_positions,preferred_foot,international_reputation,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes
1,Amit Rohidas,27,24-06-1987,169,67,93,95,CF,Left,5,93,89,86,96,27,63,84,94-3,71,89,85-5,96-1,89+2,90+4,76,96,96,90+2,94,94-2,95,80-1,73,77-1,60,88,48,22,92-1,90,76,,25,6,11,15,14,8
2,Krishan Bahadur Pathak,29,05-02-1985,185,80,92,92,"LW, LM",Right,5,93,93,81,91,32,79,83,95+3,86,82,87+2,93+3,88,79,72,92-3,91,94,93,90,63-12,94,94,89,79,93,63,24,91+2,81,85,,22,7,11,15,14,11
3,Harmanpreet Singh,30,23-01-1984,180,80,90,90,"RM, LM, RW",Left,5,93,86,83,92,32,64,80,85+2,50,86+2,86+2,93,85,83-1,76+3,90+1,93,93+2,93+1,89+2,91,86,61,78+11,65,90+1,47+9,39+1,89+2,84+2,80+1,,29,10,8,11,5,15
4,Gurinder Singh,32,03-10-1981,195,95,90,90,ST,Right,5,76,91,81,86,34,86,76,91,76,84-2,92+3,88,80,80,76+4,90,74+2,77-1,86,85,41,93,72,78,93,88,84,20,86,83-1,91,,25,13,15,10,9,12
5,Sreejesh PR,28,27-03-1986,193,92,90,90,GK,Right,5,,,,,,,25,25,25,42,25,25,25,25,41,31,58+8,61+7,43+4,89+3,35,42,78,44+9,83+5,25,29+3,30+8,25,20,37,,25,87,85+3,92,90+6,86
6,Surender Kumar,27,24-01-1987,181,81,89,91,"ST, CF",Right,5,83,87,79,88,42,79,77,91+2,75,82,85,90-2,86,84,64,89,88,79,86,91+2,60-25,84,69,86,76,82-2,78,41,88+2,84,85,,30,27,25,31,33,37
7,Jarmanpreet Singh,23,07-01-1991,173,74,88,90,"LM, RM",Right,4,90,82,84,91,32,64,78-4,83,57,87+1,79,92+2,82,79,82,89,93+2,87,92,85+1,90,79,59,74+1,63,82,54,41,84,86+1,86+1,,25,11,12,6,8,8
8,Rupinder Pal Singh,30,06-08-1983,187,71,88,88,ST,Left,5,74,90,82,83,33,68,81,91,73,85,92,84,86,81,75,87-1,73-1,74-1,80-1,88+1,59,90,59,72,72,86-1,55,34,90,82,86,,23,9,10,5,7,8
9,Manpreet Singh ,29,01-08-1984,183,79,88,88,"CM, CDM",Right,4,61,81,85,82,78,80,81,76+2,79+1,88-1,83-1,81-1,82-1,78,87,86,58-1,64,74-1,90,75-1,86,82+7,86,77+1,86,80+1,86,82,86,81,,69+1,14,14,13,13,11
10,Vivek Sagar Prasad,31,07-04-1983,170,72,88,88,LM,Right,4,89,78,85,92,29,62,83,79,41,89,81,92,84-2,81,74+2,91-1,91-1,87-1,92,89-1,92,76,51-2,72,62-2,73-1,52,36,83,88,80,,25,15,6,9,7,10
11,Chinglensana Singh,28,10-02-1986,177,72,88,88,ST,Right,4,77,86,64,81,40,73,55,91-2,94-1,69,90-3,78,83,71,53,83-2,80,75-2,85,89-1,75,79-1,93,71,74,77-2,70,41,92-1,68,87,,25,10,13,6,9,5
12,Raj Kumar Pal ,24,16-07-1989,183,74,87,91,"RM, RW",Left,4,94,83,83,84,63,81,84,81-3,74,84+1,76,87+1,87,85,80-1,85,93+1,95+1,77,84,65,87,67-1,90,79,88,77,59-8,83,79-1,76,,60-8,15,15,11,5,6
13,Dilpreet Singh,25,21-08-1988,184,78,87,89,"ST, CF",Right,4,80,84,74,85,39,78,62,87,83,83+1,82,84,77+2,68+2,65,87+1,79-2,81,80,88+1,81-1,84+3,83-1,75-1,79-2,80,80,39,87+1,78,77+3,,25,15,6,12,8,10
14,Hardik Singh,30,11-11-1983,170,66,87,87,"CDM, RB, CM",Right,4,76,56,84,83,87,67,84-4,47+3,64,88,66,80,77,59,84,85-1,77-5,76-1,83,92,92,57,72-1,88,59,65,58+1,93+1,69+4,84-1,72+3,,87+1,11,12,5,14,5
15,Ramandeep Singh,28,30-03-1986,183,75,87,87,CB,Right,4,79,61,71,66,87,82,74,59,86,76,55,52-14,73,64+2,70,83+1,79-2,79,84,82,60,71,91,82,80,55,83,87,52,63,68+2,,85+2,11,8,9,7,11
16,Lalit Kumar Upadhyay,29,22-09-1984,183,79,87,87,CB,Right,4,78,57,72,72,90,80,60,38,81,75-2,63,68,61,73,81,78-3,75-4,80-1,75,83-3,68,78,90,80+3,81+1,71,76-1,91,59,74,71,,90-1,9,12,5,9,10
17,Mandeep Singh,28,08-01-1986,170,67,87,87,"LM, CAM",Left,4,76,77,86,89,33,57,82+1,76,58,89,80,87,83,77,85,91,83,71-3,93,85,88,76,66,68,53,80,51,41,84,90,77,,23,13,9,13,9,13
18,Shamsher Singh,28,09-09-1985,174,65,87,87,"CM, CDM",Right,4,76,74,85,89,71,70,78+2,71+1,55-2,88-2,75-1,86+3,82-1,79,86-2,92+2,78-1,74,93,88+4,94,72-1,67,86,66+4,82-2,62-7,73+2,79-1,89-2,80,,69+11,13,9,7,14,9
19,Gursahibjit Singh,22,12-07-1991,180,75,86,92,"CAM, RW",Left,4,79,80,84,85,40,72,81,80+2,68,83,81+4,86,85,83,84+2,85,79-2,79+1,84+4,85+1,74+11,79,55,73,73,82+1,74,58,80,87+1,81,,25,15,15,15,5,14
20,Kothajit Singh Kadangbam,22,05-02-1992,175,64,86,91,LW,Right,5,90,80,72,92,30,58,71+1,85+1,62,72-3,83,94+2,78,78,72-1,90-1,91,89,92,86,84,77,61,86,45,70+1,56,36,87,72-2,81,,21,9,9,15,15,11
21,Birendra Lakra,22,11-05-1992,199,88,86,90,GK,Left,3,,,,,,,25,25,25,32,25,25,25,25,31,23,46,52,61-3,76,45,36,68,38,70,25,23,25,25,25,27,,25,84+2,87,69,86,88
22,Nilakanta Sharma,25,16-12-1988,192,90,86,88,CB,Right,4,66,59,75,71,88,78,64+5,57,91+1,80,51,68+2,62+1,61,80-1,77+1,63,68+1,64,85,59-2,71,70,67-1,86-4,52+3,73,90+2,56+5,78+2,72,,84,15,6,10,5,6
23,Gurjant Singh,26,14-02-1988,180,70,86,88,"CAM, CM, RM",Left,4,90,79,83,87,57,71,91+2,75+1,53,82+1,77,88+2,83-1,72+2,81-1,86+1,90,90,90,80+2,79,88,72,79,64,79+1,76,72+19,84+2,83-1,73,,42,10,7,11,12,11
24,SV Sunil,25,31-05-1989,181,73,86,88,"LM, RM, ST, CAM",Right,3,91,86,84,86,33,65,82+3,85-1,49,85+2,87,88,90+5,87+2,77,83+1,89,92,89,87+1,82,85,70-2,77,66-1,89,44,37+1,87,85+2,83,,25,12,12,13,13,11
